Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
2215,88.4667,88.05,0.0068849,0.0208471
2220,88.4667,88.075,0.00688206,0.0208483
2225,88.475,88.1,0.00687927,0.0208491
2230,88.4833,88.1,0.00687655,0.0208496
2235,88.475,88.1,0.0068739,0.0208498
2240,88.475,88.1,0.00687134,0.0208497
2245,88.4917,88.1,0.00686889,0.0208493
2250,88.5,88.1,0.00686655,0.0208485
2255,88.5083,88.075,0.00686436,0.0208474
2260,88.525,88.1,0.00686231,0.020846
2265,88.5083,88.1,0.00686043,0.0208442
2270,88.55,88.1,0.0068587,0.0208421
2275,88.5333,88.075,0.00685712,0.0208396
2280,88.525,88.05,0.00685563,0.0208367
2285,88.525,88.075,0.00685419,0.0208334
2290,88.5333,88.05,0.00685273,0.0208295
2295,88.5167,88.1,0.00685117,0.0208251
2300,88.5083,88.075,0.00684943,0.0208198
2305,88.5,88.125,0.00684747,0.0208137
2310,88.4833,88.075,0.00684524,0.0208065
2315,88.5417,87.975,0.00684272,0.0207982
2320,88.55,87.975,0.00683993,0.0207885
2325,88.55,87.95,0.00683688,0.0207774
2330,88.5917,87.95,0.00683361,0.0207649
2335,88.5833,88,0.00683016,0.0207511
2340,88.6083,88,0.00682657,0.020736
2345,88.6167,88.025,0.00682288,0.0207198
2350,88.6583,88.05,0.00681912,0.0207026
2355,88.6833,88.05,0.00681535,0.0206846
2360,88.6917,87.95,0.00681158,0.0206659
2365,88.7167,88,0.00680785,0.0206468
2370,88.7167,87.95,0.00680417,0.0206274
2375,88.7417,87.95,0.00680055,0.0206078
2380,88.7333,87.95,0.00679699,0.0205883
2385,88.7167,87.975,0.00679348,0.020569
2390,88.7333,88.025,0.00678998,0.0205502
2395,88.7,88.05,0.00678645,0.0205318
2400,88.6833,88.075,0.00678285,0.0205143
2405,88.675,88.125,0.00677913,0.0204975
2410,88.675,88.15,0.00677525,0.0204818
2415,88.6917,88.15,0.00677118,0.020467
2420,88.7333,88.15,0.00676691,0.0204533
2425,88.725,88.225,0.00676245,0.0204405
2430,88.6917,88.25,0.00675781,0.0204285
2435,88.6833,88.275,0.00675304,0.0204173
2440,88.7,88.275,0.00674816,0.0204067
2445,88.7083,88.275,0.00674321,0.0203965
2450,88.7167,88.325,0.00673822,0.0203867
2455,88.75,88.325,0.00673322,0.0203772
2460,88.7417,88.3,0.00672822,0.0203677
2465,88.775,88.325,0.00672324,0.0203584
2470,88.8,88.3,0.00671828,0.0203491
2475,88.8167,88.35,0.00671336,0.0203398
2480,88.8333,88.3,0.00670847,0.0203305
2485,88.8417,88.3,0.00670363,0.0203211
2490,88.8583,88.375,0.00669884,0.0203117
2495,88.875,88.4,0.0066941,0.0203023
2500,88.925,88.4,0.00668943,0.0202928
2505,88.9333,88.375,0.00668481,0.0202833
2510,88.9667,88.375,0.00668026,0.0202738
2515,88.975,88.425,0.00667578,0.0202643
2520,88.9583,88.45,0.00667137,0.0202549
2525,88.95,88.475,0.00666703,0.0202454
2530,88.95,88.5,0.00666276,0.020236
2535,88.9333,88.5,0.00665857,0.0202266
2540,88.9333,88.475,0.00665446,0.0202173
2545,88.9083,88.5,0.00665042,0.020208
2550,88.9083,88.5,0.00664646,0.0201989
2555,88.8917,88.5,0.00664259,0.0201898
2560,88.9,88.525,0.00663879,0.0201809
2565,88.9083,88.55,0.00663508,0.0201721
2570,88.9333,88.575,0.00663145,0.0201634
2575,88.9417,88.575,0.00662791,0.020155
2580,88.9417,88.575,0.00662446,0.0201467
2585,88.9667,88.55,0.00662109,0.0201387
2590,88.975,88.6,0.00661782,0.0201309
2595,88.9833,88.65,0.00661463,0.0201234
2600,89.025,88.625,0.00661152,0.0201163
2605,89.0167,88.625,0.0066085,0.0201094
2610,89.0167,88.65,0.00660556,0.0201029
2615,89.0333,88.625,0.00660269,0.0200968
2620,89.05,88.625,0.00659989,0.0200911
2625,89.0333,88.6,0.00659715,0.0200858
2630,89.05,88.625,0.00659445,0.0200809
2635,89.0667,88.725,0.0065918,0.0200764
2640,89.0833,88.7,0.00658917,0.0200724
2645,89.1,88.725,0.00658657,0.0200688
2650,89.1333,88.7,0.00658397,0.0200656
2655,89.1667,88.7,0.00658138,0.0200627
2660,89.1667,88.725,0.00657877,0.0200603
2665,89.1667,88.7,0.00657614,0.0200581
2670,89.175,88.7,0.00657347,0.0200563
2675,89.1667,88.7,0.00657076,0.0200548
2680,89.1583,88.7,0.006568,0.0200535
2685,89.1667,88.725,0.00656517,0.0200525
2690,89.1083,88.75,0.00656226,0.0200517
2695,89.0833,88.75,0.00655927,0.0200511
2700,89.075,88.775,0.00655619,0.0200507
2705,89.125,88.775,0.006553,0.0200505
2710,89.125,88.75,0.00654971,0.0200504
2715,89.1417,88.775,0.00654631,0.0200504
2720,89.1833,88.775,0.0065428,0.0200504
2725,89.175,88.775,0.00653918,0.0200505
2730,89.1917,88.825,0.00653545,0.0200504
2735,89.2,88.825,0.00653162,0.0200503
2740,89.175,88.825,0.00652768,0.02005
2745,89.175,88.825,0.00652367,0.0200494
2750,89.1583,88.85,0.00651957,0.0200487
2755,89.1833,88.825,0.00651542,0.0200477
2760,89.1667,88.775,0.00651122,0.0200464
2765,89.175,88.775,0.006507,0.0200449
2770,89.1917,88.775,0.00650278,0.0200432
2775,89.1917,88.75,0.00649856,0.0200413
2780,89.2083,88.75,0.00649438,0.0200392
2785,89.225,88.725,0.00649024,0.0200371
2790,89.2333,88.75,0.00648617,0.0200348
2795,89.225,88.75,0.00648217,0.0200325
2800,89.2417,88.75,0.00647827,0.0200303
2805,89.2833,88.8,0.00647446,0.020028
2810,89.2667,88.775,0.00647076,0.0200257
2815,89.2917,88.75,0.00646717,0.0200235
2820,89.3,88.775,0.00646371,0.0200212
2825,89.3,88.75,0.00646037,0.0200191
2830,89.2917,88.75,0.00645716,0.0200169
2835,89.2833,88.725,0.00645409,0.0200147
2840,89.2833,88.675,0.00645114,0.0200125
2845,89.3,88.65,0.00644833,0.0200103
2850,89.2917,88.675,0.00644565,0.020008
2855,89.3,88.675,0.00644309,0.0200057
2860,89.3083,88.7,0.00644067,0.0200033
2865,89.3417,88.725,0.00643836,0.0200009
2870,89.3667,88.725,0.00643616,0.0199985
2875,89.3417,88.7,0.00643408,0.0199961
2880,89.35,88.7,0.00643209,0.0199938
2885,89.3667,88.725,0.00643019,0.0199915
2890,89.3667,88.725,0.00642837,0.0199893
2895,89.3833,88.7,0.00642661,0.0199874
2900,89.4,88.7,0.00642492,0.0199858
2905,89.3917,88.675,0.00642326,0.0199844
2910,89.375,88.675,0.00642164,0.0199835
2915,89.3917,88.675,0.00642004,0.019983
2920,89.3917,88.65,0.00641845,0.0199831
2925,89.4167,88.675,0.00641686,0.0199838
2930,89.4083,88.675,0.00641525,0.019985
2935,89.3917,88.675,0.00641362,0.0199869
2940,89.4,88.725,0.00641196,0.0199893
2945,89.4083,88.725,0.00641027,0.0199924
2950,89.4083,88.75,0.00640853,0.0199961
2955,89.4,88.75,0.00640676,0.0200002
2960,89.45,88.8,0.00640494,0.0200048
2965,89.4583,88.8,0.00640308,0.0200099
2970,89.45,88.825,0.00640119,0.0200153
2975,89.45,88.825,0.00639926,0.020021
2980,89.4583,88.825,0.00639731,0.020027
